frame,nis
1,0.0
2,0.005736403174153923
3,4.1793290956678355
4,18.296493114965266
5,1.6926286766461947
6,2.0149907811743537
7,3.866684394105517
8,4.271129770622398
9,1.721745016607656
10,3.0615155453693554
11,1.1105485892771796
12,10.040228618407589
13,108.03558559182099
14,95.61773085031936
15,38.98367803522489
16,27.44059917678684
17,84.0085204327031
18,0.6802712520010603
19,22.58228111975308
20,30.013139185932047
21,166.6282586462993
22,354.9563891706818
23,67.65161757588547
24,179.14153441370266
25,202.0057861873196
26,25.03194515752253
27,23.82776328901089
28,308.4813178878553
29,98.95701400554684
30,63.21649225316418
31,119.30172345360069
32,33.27186309540352
33,25.673322233919244
34,34.937674136456685
35,200.23362788207032
36,113.07851501588732
37,43.11208700753387
38,5.4727166035127155
39,1.962841443027929
40,15.233730230986744
41,53.76216948776481
42,30.510765566673925
43,57.388856008915766
44,21.96319322592343
45,34.952132049469355
46,48.86200752846646
